nome;identificador;tipo_societario;no_grafo;porque;situacao_do_passeio;no_formulario;notas
Magazine Luiza;47960950000121;sociedade anônima aberta;sim;"industrial 40; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
WEG;84429695000111;sociedade anônima aberta;sim;"industrial 41; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Localiza&Co;16670085000155;sociedade anônima aberta;sim;"industrial 42; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Sabesp;43776517000180;sociedade anônima aberta;sim;"industrial 43; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Comexport;vazio;desconhecido;não;industrial 44;só inventário;não;
Embraer;07689002000189;sociedade anônima aberta;sim;"industrial 45; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Honda;vazio;desconhecido;não;industrial 46;só inventário;não;
Latam;vazio;desconhecido;não;industrial 47;só inventário;não;
Minerva Foods;67620377000114;sociedade anônima aberta;sim;"industrial 48; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Energisa;00864214000106;sociedade anônima aberta;sim;"industrial 49; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Grupo Mateus;24990777000109;sociedade anônima aberta;sim;"industrial 50; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Samsung;vazio;desconhecido;não;industrial 51;só inventário;não;
Grupo Casas Bahia;33041260065290;sociedade anônima aberta;sim;industrial 52;árvore no grafo;sim;
Coamo;vazio;desconhecido;não;industrial 53;só inventário;não;
Votorantim Cimentos;01637895000132;sociedade anônima aberta;sim;"industrial 54; lista de lançamento";árvore no grafo;sim;
Usiminas;60894730000105;sociedade anônima aberta;sim;industrial 55;árvore no grafo;sim;
Syngenta;vazio;desconhecido;não;industrial 56;só inventário;não;
TIM;02421421000111;sociedade anônima aberta;sim;industrial 57;árvore no grafo;sim;
Nestlé;vazio;desconhecido;não;industrial 58;só inventário;não;
Mosaic Fertilizantes;vazio;desconhecido;não;industrial 59;só inventário;não;
Natura & Co.;vazio;desconhecido;não;"industrial 60; lista de lançamento; inventário fechado";inventário-fechada-não-andar;não;Natura/Seabra ausentes do grafo.
Aurora;vazio;desconhecido;não;industrial 61;só inventário;não;
Coca-Cola Femsa Brasil;vazio;desconhecido;não;industrial 62;só inventário;não;
Copel;76483817000120;sociedade anônima aberta;sim;industrial 63;árvore no grafo;sim;
Volvo do Brasil;vazio;desconhecido;não;industrial 64;só inventário;não;
Grupo CCR;vazio;desconhecido;não;industrial 65;só inventário;não;
Lar;vazio;desconhecido;não;industrial 66;só inventário;não;
C. Vale;vazio;desconhecido;não;industrial 67;só inventário;não;
Basf;vazio;desconhecido;não;industrial 68;só inventário;não;
Viterra Agriculture;vazio;desconhecido;não;industrial 69;só inventário;não;
Klabin;89637490000145;sociedade anônima aberta;sim;industrial 70;árvore no grafo;sim;
Azul;09305994000129;sociedade anônima aberta;sim;industrial 71;árvore no grafo;sim;
Gol Linhas Aéreas;vazio;desconhecido;não;industrial 72;só inventário;não;
Correios;vazio;desconhecido;não;industrial 73;só inventário;não;
GPA;vazio;desconhecido;não;industrial 74;só inventário;não;
Fertipar;vazio;desconhecido;não;industrial 75;só inventário;não;
PagBank;vazio;desconhecido;não;industrial 76;só inventário;não;
EDP;03983431000103;sociedade anônima aberta;sim;industrial 77;árvore no grafo;sim;
Larco;vazio;desconhecido;não;industrial 78;só inventário;não;
Grupo Caoa;vazio;desconhecido;não;industrial 79;só inventário;não;
Renault;vazio;desconhecido;não;industrial 80;só inventário;não;
Globo;globo;sociedade anônima fechada;sim;"industrial 81; grupo fechado";grupo sem sócio;não;"Quadro de Sócios é só dirigentes; não mintar pessoa dono."
Itaipu;vazio;desconhecido;não;industrial 82;só inventário;não;
Volkswagen Caminhões e Ônibus;vazio;desconhecido;não;industrial 83;só inventário;não;
Sertrading (BR);04626426000106;sociedade anônima aberta;sim;industrial 84;árvore no grafo;sim;
Drogarias DPSP;vazio;desconhecido;não;industrial 85;só inventário;não;
Yara Brasil;vazio;desconhecido;não;industrial 86;só inventário;não;
Iochpe-Maxion;61156113000175;sociedade anônima aberta;sim;industrial 87;árvore no grafo;sim;
Grupo Dasa;61486650000183;sociedade anônima aberta;sim;industrial 88;árvore no grafo;sim;
Atem;vazio;desconhecido;não;industrial 89;só inventário;não;
Hydro Alunorte;vazio;desconhecido;não;industrial 90;só inventário;não;
Nexa Resources;vazio;desconhecido;não;industrial 91;só inventário;não;
Grupo Light;03378521000175;sociedade anônima aberta;sim;industrial 92;árvore no grafo;sim;
CNH;vazio;desconhecido;não;industrial 93;só inventário;não;
Grupo GPS;09229201000130;sociedade anônima aberta;sim;industrial 94;árvore no grafo;sim;
Petrogal;vazio;desconhecido;não;industrial 95;só inventário;não;
Lojas Renner;92754738000162;sociedade anônima aberta;sim;industrial 96;árvore no grafo;sim;
Grupo Águia Branca;vazio;desconhecido;não;industrial 97;só inventário;não;
Prio;10629105000168;sociedade anônima aberta;sim;industrial 98;árvore no grafo;sim;
Americanas;00776574000156;sociedade anônima aberta;sim;industrial 99;árvore no grafo;sim;
Timbro Trading;vazio;desconhecido;não;industrial 100;só inventário;não;
Super Muffato;vazio;desconhecido;não;industrial 101;só inventário;não;
Rumo;02387241000160;sociedade anônima aberta;sim;industrial 102;árvore no grafo;sim;
Aegea Saneamento;08827501000158;sociedade anônima aberta;sim;industrial 103;árvore no grafo;sim;
Novelis;vazio;desconhecido;não;industrial 104;só inventário;não;
Inpasa Agroindustrial;vazio;desconhecido;não;industrial 105;só inventário;não;
ALE;vazio;desconhecido;não;industrial 106;só inventário;não;
ALZ Grãos;vazio;desconhecido;não;industrial 107;só inventário;não;
Electrolux;vazio;desconhecido;não;industrial 108;só inventário;não;
CBMM;vazio;desconhecido;não;industrial 109;só inventário;não;
Grupo Pereira;vazio;desconhecido;não;industrial 110;só inventário;não;
Sotreq;vazio;desconhecido;não;industrial 111;só inventário;não;
Whirlpool;59105999000186;sociedade anônima aberta;sim;industrial 112;árvore no grafo;sim;
3tentos;94813102000170;sociedade anônima aberta;sim;industrial 113;árvore no grafo;sim;
StoneCo;vazio;desconhecido;não;industrial 114;só inventário;não;
Farmácias Pague Menos;06626253000151;sociedade anônima aberta;sim;industrial 115;árvore no grafo;sim;
Camil;64904295000103;sociedade anônima aberta;sim;industrial 116;árvore no grafo;sim;
Randoncorp;89086144000116;sociedade anônima aberta;sim;industrial 117;árvore no grafo;sim;
Hospital São Paulo;vazio;desconhecido;não;industrial 118;só inventário;não;
Havan;havan;sociedade anônima fechada;sim;"industrial 119; grupo fechado";grupo sem sócio;não;"Quadro de Sócios é só dirigentes; não mintar pessoa dono."
Anglo American Minério de Ferro Brasil;vazio;desconhecido;não;industrial 120;só inventário;não;
Viveo;12420164000157;sociedade anônima aberta;sim;industrial 121;árvore no grafo;sim;
Solar Bebidas;41052420000107;sociedade anônima aberta;sim;industrial 122;árvore no grafo;sim;
Eneva;04423567000121;sociedade anônima aberta;sim;industrial 123;árvore no grafo;sim;
Royal Fic;vazio;desconhecido;não;industrial 124;só inventário;não;
Engie Brasil Energia;02474103000119;sociedade anônima aberta;sim;industrial 125;árvore no grafo;sim;
Eurofarma;61190096000192;sociedade anônima aberta;sim;"industrial 126; lista de lançamento";árvore no grafo;sim;
Comigo;vazio;desconhecido;não;industrial 127;só inventário;não;
Copa Energia;vazio;desconhecido;não;industrial 128;só inventário;não;
Cooxupé;vazio;desconhecido;não;industrial 129;só inventário;não;
FS Agrisolutions;vazio;desconhecido;não;industrial 130;só inventário;não;
Tupy;84683374000149;sociedade anônima aberta;sim;industrial 131;árvore no grafo;sim;
Celesc;83878892000155;sociedade anônima aberta;sim;industrial 132;árvore no grafo;sim;
Grupo Potencial;vazio;desconhecido;não;industrial 133;só inventário;não;
Cielo;vazio;desconhecido;não;industrial 134;só inventário;não;
Grupo Saga;vazio;desconhecido;não;industrial 135;só inventário;não;
Copacol;vazio;desconhecido;não;industrial 136;só inventário;não;
Cencosud;vazio;desconhecido;não;industrial 137;só inventário;não;
Profarma;45453214000151;sociedade anônima aberta;sim;industrial 138;árvore no grafo;sim;
Ecorodovias;04149454000180;sociedade anônima aberta;sim;industrial 139;árvore no grafo;sim;
VLI;vazio;desconhecido;não;industrial 140;só inventário;não;
Cocamar;vazio;desconhecido;não;industrial 141;só inventário;não;
Grupo 3corações;vazio;desconhecido;não;industrial 142;só inventário;não;
M. Dias Branco;07206816000115;sociedade anônima aberta;sim;industrial 143;árvore no grafo;sim;
Guararapes;08402943000152;sociedade anônima aberta;sim;industrial 144;árvore no grafo;sim;
EloPar;vazio;desconhecido;não;industrial 145;só inventário;não;
McDonald's;vazio;desconhecido;não;industrial 146;só inventário;não;
Alcoa;vazio;desconhecido;não;industrial 147;só inventário;não;
B3;09346601000125;sociedade anônima aberta;sim;industrial 148;árvore no grafo;sim;
Petrobahia;vazio;desconhecido;não;industrial 149;só inventário;não;
Grupo Piracanjuba;vazio;desconhecido;não;industrial 150;só inventário;não;
Grupo Koch;vazio;desconhecido;não;industrial 151;só inventário;não;
TAG;vazio;desconhecido;não;industrial 152;só inventário;não;
MRV&CO;08343492000120;sociedade anônima aberta;sim;"industrial 153; lista de lançamento";árvore no grafo;sim;
Brava Energia;12091809000155;sociedade anônima aberta;sim;industrial 154;árvore no grafo;sim;
Gazin;vazio;desconhecido;não;industrial 155;só inventário;não;
SLC;vazio;desconhecido;não;industrial 156;só inventário;não;
Rede;vazio;desconhecido;não;industrial 157;só inventário;não;
Marcopolo;88611835000129;sociedade anônima aberta;sim;industrial 158;árvore no grafo;sim;
BP Bunge;vazio;desconhecido;não;industrial 159;só inventário;não;
Cooperalfa;vazio;desconhecido;não;industrial 160;só inventário;não;
Refinaria da Amazônia - Ream;vazio;desconhecido;não;industrial 161;só inventário;não;
Azzas 215;vazio;desconhecido;não;industrial 162;só inventário;não;
Cálamo;vazio;desconhecido;não;industrial 163;só inventário;não;
EMS;vazio;desconhecido;não;industrial 164;só inventário;não;
Dexco;97837181000147;sociedade anônima aberta;sim;industrial 165;árvore no grafo;sim;Dexco não é Votorantim.
CBA;61409892000173;sociedade anônima aberta;sim;"industrial 166; lista de lançamento";árvore no grafo;sim;
IFood;vazio;desconhecido;não;industrial 167;só inventário;não;
ZF;vazio;desconhecido;não;industrial 168;só inventário;não;
Auren;28594234000123;sociedade anônima aberta;sim;"industrial 169; lista de lançamento";árvore no grafo;sim;
Isa Energia Brasil;02998611000104;sociedade anônima aberta;sim;industrial 170;árvore no grafo;sim;
Cyrela;73178600000118;sociedade anônima aberta;sim;industrial 171;árvore no grafo;sim;
Bianchini;vazio;desconhecido;não;industrial 172;só inventário;não;
Coopercitrus;vazio;desconhecido;não;industrial 173;só inventário;não;
Lavoro Holding;vazio;desconhecido;não;industrial 174;só inventário;não;
Copasa MG;17281106000103;sociedade anônima aberta;sim;industrial 175;árvore no grafo;sim;
Samarco;vazio;desconhecido;não;industrial 176;só inventário;não;
V.tal;02041460000193;sociedade anônima aberta;sim;industrial 177;árvore no grafo;sim;
Agrícola Alvorada;vazio;desconhecido;não;industrial 178;só inventário;não;
Grupo Fleury;60840055000131;sociedade anônima aberta;sim;industrial 179;árvore no grafo;sim;
C&A;45242914000105;sociedade anônima aberta;sim;industrial 180;árvore no grafo;sim;
Rodoil;vazio;desconhecido;não;industrial 181;só inventário;não;
DMA;vazio;desconhecido;não;industrial 182;só inventário;não;
Sim Combustíveis;vazio;desconhecido;não;industrial 183;só inventário;não;
Zaffari & Bourbon;vazio;desconhecido;não;industrial 184;só inventário;não;
Hypera Pharma;02932074000191;sociedade anônima aberta;sim;industrial 185;árvore no grafo;sim;
Be8;vazio;desconhecido;não;industrial 186;só inventário;não;
Bosch;vazio;desconhecido;não;industrial 187;só inventário;não;
Atvos Bio;vazio;desconhecido;não;industrial 188;só inventário;não;
Grupo Vallourec;vazio;desconhecido;não;industrial 189;só inventário;não;
Caramuru Alimentos;00080671000100;sociedade anônima aberta;sim;industrial 190;árvore no grafo;sim;
NTS;04992714000184;sociedade anônima aberta;sim;industrial 191;árvore no grafo;sim;
BF Participações;vazio;desconhecido;não;industrial 192;só inventário;não;
Tenda Atacado;vazio;desconhecido;não;industrial 193;só inventário;não;
São Martinho;51466860000156;sociedade anônima aberta;sim;industrial 194;árvore no grafo;sim;
Stefanini Group;vazio;desconhecido;não;industrial 195;só inventário;não;
Grupo SBF;13217485000111;sociedade anônima aberta;sim;industrial 196;árvore no grafo;sim;
CMPC Brasil;vazio;desconhecido;não;industrial 197;só inventário;não;
Repsol Sinopec Brasil;vazio;desconhecido;não;industrial 198;só inventário;não;
MRS Logística;01417222000177;sociedade anônima aberta;sim;industrial 199;árvore no grafo;sim;
Refit;33412081000196;sociedade anônima aberta;sim;"industrial 200; buraco do Formulário";buraco;buraco;
Cibra;vazio;desconhecido;não;industrial 201;só inventário;não;
Agrária;vazio;desconhecido;não;industrial 202;só inventário;não;
Évora;vazio;desconhecido;não;industrial 203;só inventário;não;
White Martins;vazio;desconhecido;não;industrial 204;só inventário;não;
Sanepar;76484013000145;sociedade anônima aberta;sim;industrial 205;árvore no grafo;sim;
Tereos Açúcar & Energia Brasil;vazio;desconhecido;não;industrial 206;só inventário;não;
Unidas;75609123000123;sociedade anônima aberta;sim;industrial 207;árvore no grafo;sim;
Kinross;vazio;desconhecido;não;industrial 208;só inventário;não;
Grupo Arteris;02919555000167;sociedade anônima aberta;sim;industrial 209;árvore no grafo;sim;
Oleoplan;vazio;desconhecido;não;industrial 210;só inventário;não;
Bayer;vazio;desconhecido;não;industrial 211;só inventário;não;
Grupo Ambipar;12648266000124;sociedade anônima aberta;sim;industrial 212;árvore no grafo;sim;
Cogna;02800026000140;sociedade anônima aberta;sim;industrial 213;árvore no grafo;sim;
Savegnago;vazio;desconhecido;não;industrial 214;só inventário;não;
Eldorado Brasil;07401436000131;sociedade anônima aberta;sim;industrial 215;árvore no grafo;sim;
Oxiteno;vazio;desconhecido;não;industrial 216;só inventário;não;
Oncoclínicas;12104241000402;sociedade anônima aberta;sim;industrial 217;árvore no grafo;sim;
EISA;vazio;desconhecido;não;industrial 218;só inventário;não;
Grupo Lincoln Junqueira;vazio;desconhecido;não;industrial 219;só inventário;não;
Cooperativa Integrada;vazio;desconhecido;não;industrial 220;só inventário;não;
Hospital Israelita Albert Einstein;vazio;desconhecido;não;industrial 221;só inventário;não;
Aperam;vazio;desconhecido;não;industrial 222;só inventário;não;
Albras;vazio;desconhecido;não;industrial 223;só inventário;não;
UPL do Brasil;vazio;desconhecido;não;industrial 224;só inventário;não;
Grupo Martins;vazio;desconhecido;não;industrial 225;só inventário;não;
FMC;vazio;desconhecido;não;industrial 226;só inventário;não;
CTG Brasil;19014221000147;sociedade anônima aberta;sim;industrial 227;árvore no grafo;sim;
Frimesa;vazio;desconhecido;não;industrial 228;só inventário;não;
Novartis Biociências;vazio;desconhecido;não;industrial 229;só inventário;não;
Porto Sudeste;vazio;desconhecido;não;industrial 230;só inventário;não;
Embasa;vazio;desconhecido;não;industrial 231;só inventário;não;
Grupo Aço Cearense;vazio;desconhecido;não;industrial 232;só inventário;não;
Lojas Cem;vazio;desconhecido;não;industrial 233;só inventário;não;
Cooperativa Frísia;vazio;desconhecido;não;industrial 234;só inventário;não;
Smart Fit;07594978000178;sociedade anônima aberta;sim;industrial 235;árvore no grafo;sim;
Grupo Elfa;09053134000145;sociedade anônima aberta;sim;industrial 236;árvore no grafo;sim;
Castrolanda;vazio;desconhecido;não;industrial 237;só inventário;não;
Allied Tecnologia;20247322000147;sociedade anônima aberta;sim;industrial 238;árvore no grafo;sim;
Grupo Unipar;33958695000178;sociedade anônima aberta;sim;industrial 239;árvore no grafo;sim;
Rodobens;59981829000165;sociedade anônima aberta;sim;industrial 240;árvore no grafo;sim;
Aché;vazio;desconhecido;não;industrial 241;só inventário;não;
Yduqs;08807432000110;sociedade anônima aberta;sim;industrial 242;árvore no grafo;sim;
Citrosuco;vazio;desconhecido;não;industrial 243;só inventário;não;
BR Autoparts;vazio;desconhecido;não;industrial 244;só inventário;não;
Coopavel;vazio;desconhecido;não;industrial 245;só inventário;não;
Serasa Experian;vazio;desconhecido;não;industrial 246;só inventário;não;
Sylvamo;vazio;desconhecido;não;industrial 247;só inventário;não;
Totvs;53113791000122;sociedade anônima aberta;sim;industrial 248;árvore no grafo;sim;
Coasul;vazio;desconhecido;não;industrial 249;só inventário;não;
Coca-Cola Andina Brasil;vazio;desconhecido;não;industrial 250;só inventário;não;
AmE;vazio;desconhecido;não;industrial 251;só inventário;não;
CEG;33938119000169;sociedade anônima aberta;sim;industrial 252;árvore no grafo;sim;
Zemax Log;vazio;desconhecido;não;industrial 253;só inventário;não;
SMR Participações;vazio;desconhecido;não;industrial 254;só inventário;não;
SAP;vazio;desconhecido;não;industrial 255;só inventário;não;
Tambasa;17359233000188;sociedade anônima aberta;sim;industrial 256;árvore no grafo;sim;
Delly's Food Service;vazio;desconhecido;não;industrial 257;só inventário;não;
Roche;vazio;desconhecido;não;industrial 258;só inventário;não;
Grupo Lider;vazio;desconhecido;não;industrial 259;só inventário;não;
Aliança Agrícola;vazio;desconhecido;não;industrial 260;só inventário;não;
Dimed;92665611000177;sociedade anônima aberta;sim;industrial 261;árvore no grafo;sim;
CMOC Brasil;vazio;desconhecido;não;industrial 262;só inventário;não;
Innova;vazio;desconhecido;não;industrial 263;só inventário;não;
Usina Coruripe;vazio;desconhecido;não;industrial 264;só inventário;não;
Pernambucanas;vazio;desconhecido;não;industrial 265;só inventário;não;
Tigre;84684455000163;sociedade anônima aberta;sim;industrial 266;árvore no grafo;sim;
Sonda Supermercados;vazio;desconhecido;não;industrial 267;só inventário;não;
Copercana;vazio;desconhecido;não;industrial 268;só inventário;não;
Líder;vazio;desconhecido;não;industrial 269;só inventário;não;
Intelbras;82901000000127;sociedade anônima aberta;sim;industrial 270;árvore no grafo;sim;
Cotrijal;vazio;desconhecido;não;industrial 271;só inventário;não;
TT Work;vazio;desconhecido;não;industrial 272;só inventário;não;
Grupo Dass;vazio;desconhecido;não;industrial 273;só inventário;não;
Belagrícola;vazio;desconhecido;não;industrial 274;só inventário;não;
State Grid Brazil Holding;vazio;desconhecido;não;industrial 275;só inventário;não;
Olfar;vazio;desconhecido;não;industrial 276;só inventário;não;
AgroGalaxy;21240146000184;sociedade anônima aberta;sim;"industrial 277; buraco do Formulário";buraco;buraco;
Heringer;22266175000188;sociedade anônima aberta;sim;industrial 278;árvore no grafo;sim;
Alvoar;vazio;desconhecido;não;industrial 279;só inventário;não;
Mahle Metal Leve;60476884000187;sociedade anônima aberta;sim;industrial 280;árvore no grafo;sim;
Zamp;13574594000196;sociedade anônima aberta;sim;industrial 281;árvore no grafo;sim;
Termomecânica;vazio;desconhecido;não;industrial 282;só inventário;não;
Sanofi Medley;vazio;desconhecido;não;industrial 283;só inventário;não;
Supermercados ABC;vazio;desconhecido;não;industrial 284;só inventário;não;
Cocari;vazio;desconhecido;não;industrial 285;só inventário;não;
Calçados Beira Rio;vazio;desconhecido;não;industrial 286;só inventário;não;
Atakarejo;vazio;desconhecido;não;industrial 287;só inventário;não;
Capal;vazio;desconhecido;não;industrial 288;só inventário;não;
Agrofel;vazio;desconhecido;não;industrial 289;só inventário;não;
BRK Ambiental;24396489000120;sociedade anônima aberta;sim;industrial 290;árvore no grafo;sim;
Grupo Cereal;vazio;desconhecido;não;industrial 291;só inventário;não;
Drogaria Araujo;vazio;desconhecido;não;industrial 292;só inventário;não;
Ihara;vazio;desconhecido;não;industrial 293;só inventário;não;
FUABC;vazio;desconhecido;não;industrial 294;só inventário;não;
American Tower do Brasil;vazio;desconhecido;não;industrial 295;só inventário;não;
Copasul;vazio;desconhecido;não;industrial 296;só inventário;não;
União Química;60665981000118;sociedade anônima aberta;sim;industrial 297;árvore no grafo;sim;
Copercampos;vazio;desconhecido;não;industrial 298;só inventário;não;
Embrapa;vazio;desconhecido;não;industrial 299;só inventário;não;
ICL;vazio;desconhecido;não;industrial 300;só inventário;não;
LM;00389481000179;sociedade anônima aberta;sim;industrial 301;árvore no grafo;sim;
Petrovia;vazio;desconhecido;não;industrial 302;só inventário;não;
Serena Energia;42500384000151;sociedade anônima aberta;sim;industrial 303;árvore no grafo;sim;
Alpargatas;61079117000105;sociedade anônima aberta;sim;industrial 304;árvore no grafo;sim;
Comerc Energia;vazio;desconhecido;não;industrial 305;só inventário;não;
Supermercado Bahamas;vazio;desconhecido;não;industrial 306;só inventário;não;
Elcano;vazio;desconhecido;não;industrial 307;só inventário;não;
Gestamp Brasil;vazio;desconhecido;não;industrial 308;só inventário;não;
GTFoods;vazio;desconhecido;não;industrial 309;só inventário;não;
Alupar;08364948000138;sociedade anônima aberta;sim;industrial 310;árvore no grafo;sim;
Coplacana;vazio;desconhecido;não;industrial 311;só inventário;não;
Grupo Bemol;vazio;desconhecido;não;industrial 312;só inventário;não;
Cury;08797760000183;sociedade anônima aberta;sim;industrial 313;árvore no grafo;sim;
Serpro;vazio;desconhecido;não;industrial 314;só inventário;não;
Prysmian Cabos e Sistemas do Brasil;vazio;desconhecido;não;industrial 315;só inventário;não;
Grupo Alubar;08262121000113;sociedade anônima aberta;sim;industrial 316;árvore no grafo;sim;
Auren Participações;37663076000107;sociedade anônima aberta;sim;industrial 317;árvore no grafo;sim;
Saneago;01616929000102;sociedade anônima aberta;sim;industrial 318;árvore no grafo;sim;
CSD;vazio;desconhecido;não;industrial 319;só inventário;não;
Araguaia;vazio;desconhecido;não;industrial 320;só inventário;não;
Esho;vazio;desconhecido;não;industrial 321;só inventário;não;
Ânima;09288252000132;sociedade anônima aberta;sim;industrial 322;árvore no grafo;sim;
Acciona;vazio;desconhecido;não;industrial 323;só inventário;não;
Delta Sucroenergia;vazio;desconhecido;não;industrial 324;só inventário;não;
Arroz Brejeiro;vazio;desconhecido;não;industrial 325;só inventário;não;
Taesa;07859971000130;sociedade anônima aberta;sim;industrial 326;árvore no grafo;sim;
Zilor;vazio;desconhecido;não;industrial 327;só inventário;não;
Cenibra;vazio;desconhecido;não;industrial 328;só inventário;não;
Cerradinho;vazio;desconhecido;não;industrial 329;só inventário;não;
Usina de Açúcar Santa Terezinha;vazio;desconhecido;não;industrial 330;só inventário;não;
Pedra Agroindustrial;vazio;desconhecido;não;industrial 331;só inventário;não;
Grupo Adecoagro;vazio;desconhecido;não;industrial 332;só inventário;não;
Verzani & Sandrini;vazio;desconhecido;não;industrial 333;só inventário;não;
Positivo;81243735000148;sociedade anônima aberta;sim;industrial 334;árvore no grafo;sim;
Adama;vazio;desconhecido;não;industrial 335;só inventário;não;
SSA;vazio;desconhecido;não;industrial 336;só inventário;não;
Tenarisconfab;vazio;desconhecido;não;industrial 337;só inventário;não;
Grupo Frialto;vazio;desconhecido;não;industrial 338;só inventário;não;
Abbott;vazio;desconhecido;não;industrial 339;só inventário;não;
Jirau Energia;vazio;desconhecido;não;industrial 340;só inventário;não;
Distribuidora Santa Lúcia;vazio;desconhecido;não;industrial 341;só inventário;não;
Fuga;vazio;desconhecido;não;industrial 342;só inventário;não;
Hospital Sírio-Libanês;vazio;desconhecido;não;industrial 343;só inventário;não;
Cigás;vazio;desconhecido;não;industrial 344;só inventário;não;
Ajinomoto do Brasil;vazio;desconhecido;não;industrial 345;só inventário;não;
Mexichem Brasil;vazio;desconhecido;não;industrial 346;só inventário;não;
Casa dos Ventos;vazio;desconhecido;não;industrial 347;só inventário;não;
Berneck;vazio;desconhecido;não;industrial 348;só inventário;não;
Frigol;vazio;desconhecido;não;industrial 349;só inventário;não;
