ranking_family,valor_rank,empresa,razao_social
industrial,111,Sotreq,Sotreq S.A.
industrial,112,Whirlpool,Whirlpool S.A.
industrial,113,3tentos,Três Tentos Agroindustrial S.A.
industrial,114,StoneCo,StoneCo Ltd.
industrial,115,Farmácias Pague Menos,Empreendimentos Pague Menos S.A.
industrial,116,Camil,Camil Alimentos S.A.
industrial,117,Randoncorp,Randon S.A. Implementos e Participações
industrial,118,Hospital São Paulo,SPDM Associação Paulista para o Desenvolvimento da Medicina
industrial,119,Havan,Havan S.A.
industrial,120,Anglo American Minério de Ferro Brasil,Anglo American Minério de Ferro Brasil S.A.
industrial,121,Viveo,CM Hospitalar S.A.
industrial,122,Solar Bebidas,Solar Bebidas S.A.
industrial,123,Eneva,Eneva S.A.
industrial,124,Royal Fic,Royal Fic Distribuidora de Derivados de Petróleo S.A.
industrial,125,Engie Brasil Energia,Engie Brasil Energia S.A.
industrial,126,Eurofarma,Eurofarma Laboratórios S.A.
industrial,127,Comigo,Cooperativa Agroindustrial dos Produtores Rurais do Sudoeste Goiano
industrial,128,Copa Energia,Copa Energia S.A.
industrial,129,Cooxupé,Cooperativa Regional de Cafeicultores em Guaxupé Ltda.
industrial,130,FS Agrisolutions,FS Agrisolutions Indústria de Biocombustíveis Ltda.
industrial,131,Tupy,Tupy S.A.
industrial,132,Celesc,Centrais Elétricas de Santa Catarina S.A.
industrial,133,Grupo Potencial,Grupo Potencial S.A.
industrial,134,Cielo,Cielo S.A. - Instituto de Pagamento
industrial,135,Grupo Saga,Saga Brasil Administração e Participações Ltda.
industrial,136,Copacol,Copacol Cooperativa Agroindustrial Consolata
industrial,137,Cencosud,Cencosud Brasil Comercial Ltda.
industrial,138,Profarma,Profarma Distribuidora de Produtos Farmacêuticos S.A.
industrial,139,Ecorodovias,Ecorodovias Infraestrutura e Logística S.A.
industrial,140,VLI,VLI S.A.
industrial,141,Cocamar,Cocamar Cooperativa Agroindustrial
industrial,142,Grupo 3corações,Três Corações Alimentos S.A.
industrial,143,M. Dias Branco,M. Dias Branco S.A. Ind. e Com. de Alimentos
industrial,144,Guararapes,Guararapes Confecções S.A.
industrial,145,EloPar,Elo Participações Ltda.
industrial,146,McDonald's,Arcos Dourados Comércio de Alimentos S.A.
industrial,147,Alcoa,Alcoa Alumínio S.A.
industrial,148,B3,"B3 S.A. - Brasil, Bolsa, Balcão"
industrial,149,Petrobahia,Petrobahia S.A.
industrial,150,Grupo Piracanjuba,Laticínios Bela Vista S.A.
industrial,151,Grupo Koch,Koch Hipermercado Ltda.
industrial,152,TAG,Transportadora Associada de Gás S.A.
industrial,153,MRV&CO,MRV Engenharia e Participações S.A.
industrial,154,Brava Energia,Brava Energia S.A.
industrial,155,Gazin,Gazin Holding S.A.
industrial,156,SLC,SLC Participações S.A.
industrial,157,Rede,Redecard Instituição de Pagamentos S.A.
industrial,158,Marcopolo,Marcopolo S.A.
industrial,159,BP Bunge,BP Bunge Bioenergia S.A.
industrial,160,Cooperalfa,Cooperativa Agroindustrial Alfa
industrial,161,Refinaria da Amazônia - Ream,Refinaria de Manaus S.A.
industrial,162,Azzas 215,Azzas 215S.A.
industrial,163,Cálamo,Cálamo Distribuidora de Produtos de Beleza S.A.
industrial,164,EMS,EMS S.A.
industrial,165,Dexco,Dexco S.A.
industrial,166,CBA,Companhia Brasileira de Alumínio
industrial,167,IFood,IFood.com Agência de Restaurantes Online S.A.
industrial,168,ZF,ZF do Brasil Ltda.
industrial,169,Auren,Auren Energia S.A.
industrial,170,Isa Energia Brasil,Isa Energia Brasil S.A.
industrial,171,Cyrela,Cyrela Brazil Realty S.A. Empreendimentos e Participações
industrial,172,Bianchini,Bianchini S.A. Indústria Comércio e Agricultura
industrial,173,Coopercitrus,Coopercitrus Cooperativa de Produtores Rurais
industrial,174,Lavoro Holding,Lavoro Agro Holding S.A.
industrial,175,Copasa MG,Companhia de Saneamento de Minas Gerais
industrial,176,Samarco,Samarco Mineração S.A. - Em Recuperação Judicial
industrial,177,V.tal,V.tal Rede Neutra de Telecomunicações S.A.
industrial,178,Agrícola Alvorada,Agrícola Alvorada S.A.
industrial,179,Grupo Fleury,Fleury S.A.
industrial,180,C&A,C&A Modas S.A.
industrial,181,Rodoil,Rodoil Distribuidora de Combustíveis S.A.
industrial,182,DMA,DMA Distribuidora S.A.
industrial,183,Sim Combustíveis,Sim Distribuidora de Combustíveis S.A.
industrial,184,Zaffari & Bourbon,Companhia Zaffari Comércio e Indústria
industrial,185,Hypera Pharma,Hypera S.A.
industrial,186,Be8,Be8 S.A.
industrial,187,Bosch,Robert Bosch Ltda.
industrial,188,Atvos Bio,Atvos Bioenergia S.A.
industrial,189,Grupo Vallourec,Vallourec Soluções Tubulares do Brasil S.A.
industrial,190,Caramuru Alimentos,Caramuru Alimentos S.A.
industrial,191,NTS,Nova Transportadora do Sudeste S.A. - NTS
industrial,192,BF Participações,BF Participações S.A.
industrial,193,Tenda Atacado,Tenda Atacado S.A.
industrial,194,São Martinho,São Martinho S.A.
industrial,195,Stefanini Group,Stefanini Participações S.A.
industrial,196,Grupo SBF,Grupo SBF S.A.
industrial,197,CMPC Brasil,CMPC Celulose Riograndense Ltda.
industrial,198,Repsol Sinopec Brasil,Repsol Sinopec Brasil S.A.
industrial,199,MRS Logística,MRS Logística S.A.
industrial,200,Refit,Refinaria de Petróleos de Manguinhos S.A. - Em Recuperação Judicial
industrial,201,Cibra,Cibrafértil - Companhia Brasileira de Fertilizantes S.A.
industrial,202,Agrária,Cooperativa Agrária Agroindustrial
industrial,203,Évora,Évora S.A.
industrial,204,White Martins,White Martins Gases Industriais Ltda.
industrial,205,Sanepar,Companhia de Saneamento do Paraná
industrial,206,Tereos Açúcar & Energia Brasil,Tereos Açúcar & Energia Brasil S.A.
industrial,207,Unidas,Unidas Locações e Serviços S.A.
industrial,208,Kinross,Kinross Brasil Mineração S.A.
industrial,209,Grupo Arteris,Arteris S.A.
industrial,210,Oleoplan,Oleoplan S.A. Óleos Vegetais Planalto
industrial,211,Bayer,Bayer S.A.
industrial,212,Grupo Ambipar,Ambipar Participações e Empreendimentos S.A.
industrial,213,Cogna,Cogna Educação S.A.
industrial,214,Savegnago,Savegnago Participações e Negócios S.A.
industrial,215,Eldorado Brasil,Eldorado Brasil Celulose S.A.
industrial,216,Oxiteno,Oxiteno S.A. Indústria e Comércio
industrial,217,Oncoclínicas,Oncoclínicas do Brasil Serviços Médicos S.A.
industrial,218,EISA,EISA Empresa Interagrícola S.A.
industrial,219,Grupo Lincoln Junqueira,Cia. Agrícola e Pecuária Lincoln Junqueira
industrial,220,Cooperativa Integrada,Integrada Cooperativa Agroindustrial
industrial,221,Hospital Israelita Albert Einstein,Sociedade Beneficente Israelita Brasileira Hospital Albert Einstein
industrial,222,Aperam,Aperam Inox América do Sul S.A.
industrial,223,Albras,Albras Alumínio Brasileiro S.A.
industrial,224,UPL do Brasil,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.
industrial,225,Grupo Martins,Almart Administração e Participações S.A.
industrial,226,FMC,FMC Química do Brasil Ltda.
industrial,227,CTG Brasil,China Three Gorges Brasil Energia S.A.
industrial,228,Frimesa,Frimesa Cooperativa Central
industrial,229,Novartis Biociências,Novartis Biociências S.A.
industrial,230,Porto Sudeste,Porto Sudeste do Brasil S.A.
industrial,231,Embasa,Empresa Baiana de Águas e Saneamento S.A.
industrial,232,Grupo Aço Cearense,WMA Participações S.A.
industrial,233,Lojas Cem,Lojas Cem S.A.
industrial,234,Cooperativa Frísia,Frísia Cooperativa Agroindustrial
industrial,235,Smart Fit,Smartfit Escola de Ginástica e Dança S.A.
industrial,236,Grupo Elfa,Elfa Medicamentos S.A.
industrial,237,Castrolanda,Castrolanda Cooperativa Agroindustrial Ltda.
industrial,238,Allied Tecnologia,Allied Tecnologia S.A.
industrial,239,Grupo Unipar,Unipar Carbocloro S.A.
industrial,240,Rodobens,Rodobens S.A.
industrial,241,Aché,Aché Laboratórios Farmacêuticos S.A.
industrial,242,Yduqs,YDUQS Participações S.A.
industrial,243,Citrosuco,Citrosuco S.A. Agroindústria
industrial,244,BR Autoparts,Companhia Brasileira de Distribuição Automotiva S.A.
industrial,245,Coopavel,Coopavel Cooperativa Agroindustrial
industrial,246,Serasa Experian,Serasa S.A.
industrial,247,Sylvamo,Sylvamo do Brasil Ltda.
industrial,248,Totvs,Totvs S.A.
industrial,249,Coasul,Coasul Cooperativa Agroindustrial
industrial,250,Coca-Cola Andina Brasil,Rio de Janeiro Refrescos Ltda.
industrial,251,AmE,Amazonas Energia S.A.
industrial,252,CEG,Cia. Distribuidora de Gás do Rio de Janeiro CEG
industrial,253,Zemax Log,Zemax Log Soluções Marítimas S.A. - Zmax Group
industrial,254,SMR Participações,SMR Participações e Investimentos S.A.
industrial,255,SAP,SAP Brasil Ltda.
industrial,256,Tambasa,Tecidos e Armarinhos Miguel Bartolomeu S.A.
industrial,257,Delly's Food Service,DFS Holding S.A.
industrial,258,Roche,Produtos Roche Químicos e Farmacêuticos S.A.
industrial,259,Grupo Lider,J. L. Braz Participações S.A.
industrial,260,Aliança Agrícola,Aliança Agrícola do Cerrado S.A.
industrial,261,Dimed,Dimed S.A. Distribuidora de Medicamentos
industrial,262,CMOC Brasil,"CMOC Brasil Mineração, Indústria e Participações Ltda."
industrial,263,Innova,Videolar-Innova S.A.
industrial,264,Usina Coruripe,S.A. Usina Coruripe Açúcar e Álcool
industrial,265,Pernambucanas,Arthur Lundgren Tecidos S.A. Casas Pernambucanas
industrial,266,Tigre,Tigre S.A. Participações
industrial,267,Sonda Supermercados,Sonda Supermercados Exportação e Importação S.A.
industrial,268,Copercana,Cooperativa dos Plantadores de Cana do Oeste do Estado de São Paulo
industrial,269,Líder,Líder Comércio e Indústria Ltda.
industrial,270,Intelbras,Intelbras S.A. Indústria de Telecomunicação Eletrônica Brasileira
industrial,271,Cotrijal,Cotrijal Cooperativa Agropecuária e Industrial
industrial,272,TT Work,TT Work Participações S.A.
industrial,273,Grupo Dass,Dass Nordeste Calçados e Artigos Esportivos S.A.
industrial,274,Belagrícola,Belagrícola Comércio e Representações de Produtos Agrícolas S.A.
industrial,275,State Grid Brazil Holding,State Grid Brazil Holding S.A.
industrial,276,Olfar,Olfar S.A. Alimento e Energia
industrial,277,AgroGalaxy,AgroGalaxy Participações S.A. - Em Recuperação Judicial
industrial,278,Heringer,Fertilizantes Heringer S.A.
industrial,279,Alvoar,Alvoar Lácteos S.A.
industrial,280,Mahle Metal Leve,Mahle Metal Leve S.A.
industrial,281,Zamp,Zamp S.A.
industrial,282,Termomecânica,Termomecânica São Paulo S.A.
industrial,283,Sanofi Medley,Sanofi Medley Farmacêutica Ltda.
industrial,284,Supermercados ABC,Adição Distribuição Express S.A.
industrial,285,Cocari,Cocari Cooperativa Agropecuária e Industrial
industrial,286,Calçados Beira Rio,Calçados Beira Rio S.A.
industrial,287,Atakarejo,Atakarejo Distribuidor de Alimentos e Bebidas S.A.
industrial,288,Capal,Capal Cooperativa Agroindustrial
industrial,289,Agrofel,Agrofel Agro Comercial S.A.
industrial,290,BRK Ambiental,BRK Ambiental Participações S.A.
industrial,291,Grupo Cereal,Cereal Comércio Exportação Representação Agropecuária S.A.
industrial,292,Drogaria Araujo,Drogaria Araujo S.A.
industrial,293,Ihara,Iharabras S.A. Indústrias Químicas
industrial,294,FUABC,Fundação do ABC
industrial,295,American Tower do Brasil,American Tower do Brasil - Cessão de Infraestruturas S.A.
industrial,296,Copasul,Copasul Cooperativa Agrícola Sul Matogrossense
industrial,297,União Química,União Química Farmacêutica Nacional S.A.
industrial,298,Copercampos,Cooperativa Regional Agropecuária de Campos Novos
industrial,299,Embrapa,Empresa Brasileira de Pesquisa Agropecuária
industrial,300,ICL,ICL América do Sul S.A.
industrial,301,LM,LM Transportes Interestaduais Serviços e Comércio S.A.
industrial,302,Petrovia,Temape Terminais Marítimos de Pernambuco S.A.
industrial,303,Serena Energia,Serena Energia S.A.
industrial,304,Alpargatas,Alpargatas S.A.
industrial,305,Comerc Energia,Comerc Participações S.A.
industrial,306,Supermercado Bahamas,Supermercado Bahamas S.A.
industrial,307,Elcano,Empresa de Navegação Elcano S.A.
industrial,308,Gestamp Brasil,Gestamp Brasil Indústria de Autopeças S.A.
industrial,309,GTFoods,Gonçalves & Tortola S.A.
industrial,310,Alupar,Alupar Investimento S.A.
industrial,311,Coplacana,Cooperativa dos Plantadores de Cana do Estado São Paulo
industrial,312,Grupo Bemol,Bemol S.A.
industrial,313,Cury,Cury Construtora e Incorporadora S.A.
industrial,314,Serpro,Serviço Federal de Processamento de Dados Serpro
industrial,315,Prysmian Cabos e Sistemas do Brasil,Prysmian Cabos e Sistemas do Brasil S.A.
industrial,316,Grupo Alubar,Alubar Metais e Cabos S.A.
industrial,317,Auren Participações,Auren Participações S.A.
industrial,318,Saneago,Saneamento de Goiás S.A.
industrial,319,CSD,Companhia Sulamericana de Distribuição
industrial,320,Araguaia,Araguaia S.A.
industrial,321,Esho,Esho Empresa de Serviços Hospitalares S.A.
industrial,322,Ânima,Ânima Holding S.A.
industrial,323,Acciona,Acciona Construcción S.A.
industrial,324,Delta Sucroenergia,Delta Sucroenergia S.A.
industrial,325,Arroz Brejeiro,Produtos Alimentícios Orlândia S.A. Comércio e Indústria
industrial,326,Taesa,Transmissora Aliança de Energia Elétrica S.A.
industrial,327,Zilor,Grupo Zilor (Dados Combinados)
industrial,328,Cenibra,Celulose Nipo-Brasileira S.A. - Cenibra
industrial,329,Cerradinho,Cerradinho Bionergia S.A.
industrial,330,Usina de Açúcar Santa Terezinha,Usina de Açúcar Santa Terezinha Ltda.
industrial,331,Pedra Agroindustrial,Pedra Agroindustrial S.A.
industrial,332,Grupo Adecoagro,Adecoagro Brasil Participações S.A.
industrial,333,Verzani & Sandrini,Holding Verzani & Sandrini S.A.
industrial,334,Positivo,Positivo Tecnologia S.A.
industrial,335,Adama,Adama Brasil S.A.
industrial,336,SSA,São Salvador Alimentos Participações S.A.
industrial,337,Tenarisconfab,Confab Industrial S.A.
industrial,338,Grupo Frialto,Vale Grande Ind. e Com. de Alimentos S.A. - Em Recuperação Judicial
industrial,339,Abbott,Abbott Laboratórios do Brasil Ltda.
industrial,340,Jirau Energia,Jirau Energia S.A.
industrial,341,Distribuidora Santa Lúcia,Santa Lúcia Distribuidora de Combustíveis Ltda.
industrial,342,Fuga,Fuga S.A.
industrial,343,Hospital Sírio-Libanês,Sociedade Beneficente de Senhoras Hospital Sírio-Libanês
industrial,344,Cigás,Companhia de Gás do Amazonas - Cigás
industrial,345,Ajinomoto do Brasil,Ajinomoto do Brasil Indústria e Comércio de Alimentos Ltda.
industrial,346,Mexichem Brasil,Mexichem Brasil Ind. de Transformação Plástica Ltda.
industrial,347,Casa dos Ventos,Casa dos Ventos S.A.
industrial,348,Berneck,Berneck S.A. Painéis e Serrados
industrial,349,Frigol,Frigol S.A.
industrial,350,Facchini,Facchini S.A.
industrial,351,Supermercado Angeloni,A. Angeloni & Cia. Ltda.
industrial,352,Gasmig,Cia. de Gás de Minas Gerais Gasmig
industrial,353,Ugás Combustíveis,Flagler Combustíveis S.A.
industrial,354,Record,Rádio e Televisão Record S.A.
industrial,355,Braveo,Braveo S.A.
industrial,356,Giassi,Giassi & Cia Ltda.
industrial,357,Super Mercado Zona Sul,Super Mercado Zona Sul S.A.
industrial,358,South32 Minerals,South32 Minerals S.A.
industrial,359,Grupo Multi,Grupo Multi S.A.
industrial,360,Belenus,Belenus Ltda.
industrial,361,Direcional,Direcional Engenharia S.A.
industrial,362,Invepar,Investimentos e Participações em Infra-estrutura S.A. Invepar
industrial,363,Petz,Pet Center Comércio e Participações S.A.
industrial,364,Vibra Agroindustrial,Vibra Agroindustrial S.A.
industrial,365,Bahiagás,Cia. de Gás da Bahia Bahiagás
industrial,366,Bem Brasil Alimentos,Bem Brasil Alimentos S.A.
industrial,367,Afya,Afya Limited (Afya Participações S.A.)
industrial,368,Cocatrel,Cooperativa dos Cafeicultores da Zona de Três Pontas Ltda.
industrial,369,Construtora Tenda,Construtora Tenda S.A.
industrial,370,InterCement Brasil,InterCement Brasil S.A. - Em Recuperação Judicial
industrial,371,PetroRecôncavo,PetroRecôncavo S.A.
industrial,372,Cedae,Cia. Estadual de Águas e Esgotos - CEDAE
industrial,373,Grupo Comporte,Comporte Participações S.A.
industrial,374,Aura Minerals,Aura Minerals Inc.
industrial,375,Karoon Energy,Karoon Petróleo & Gás Ltda.
industrial,376,Cotrisal,Cooperativa Tritícola Sarandi Ltda.
industrial,377,Getnet,Getnet Adquirência e Serviços para Meios de Pagamento S.A.
industrial,378,Oi,Oi S.A. - Em Recuperação Judicial
industrial,379,Stihl,Stihl Ferramentas Motorizadas Ltda.
industrial,380,Vigor,Vigor Alimentos S.A.
industrial,381,Rede 7,Rede 7 S.A.
industrial,382,Unigel,Unigel Participações S.A.
industrial,383,Cagece,Companhia de Água e Esgoto do Ceará
industrial,384,Fundação Butantan,Fundação Butantan
industrial,385,WLM,WLM Participações e Comércio de Máquinas e Veículos S.A.
industrial,386,Grupo Melo Cordeiro,Grupo GMC Participações S.A.
industrial,387,J. Macêdo,J. Macêdo S.A.
industrial,388,Copérdia,Cooperativa de Produção e Consumo Concórdia
industrial,389,Grupo Decio,Decio Holding S.A.
industrial,390,Atlas Schindler,Elevadores Atlas Schindler Ltda.
industrial,391,Rissul,Unidasul Distribuidora Alimentícia S.A.
industrial,392,Vulcabras,Vulcabras S.A.
industrial,393,Metrô,Cia. do Metropolitano de São Paulo Metrô
industrial,394,Grupo CDM,CDM Holding S.A.
industrial,395,Grupo Nissei,Farmácia e Drogaria Nissei S.A.
industrial,396,Colombo Agroindústria,Angelina Colombo Participações S.A.
industrial,397,Columbia Trading,Columbia Trading S.A.
industrial,398,Metal Group,Metal Group Participações Ltda.
industrial,399,Sapore,Sapore S.A.
industrial,400,Arauco,Arauco do Brasil S.A.
industrial,401,Grupo Plaenge,Plaenge Participações S.A.
industrial,402,Fortbras,Fortbras Autopeças S.A.
industrial,403,Wilson Sons,Wilson Sons S.A.
industrial,404,Evonik,Evonik Brasil Ltda.
industrial,405,Oba Hortifruti,Grupo Fartura de Hortifrut S.A.
industrial,406,Santos Brasil,Santos Brasil Participações S.A.
industrial,407,Compesa,Cia. Pernambucana de Saneamento Compesa
industrial,408,Eucatex,Eucatex S.A. Indústria e Comércio
industrial,409,Comlurb,Companhia Municipal de Limpeza Urbana Comlurb
industrial,410,CJ Selecta,CJ Selecta S.A.
industrial,411,Algar Telecom,Algar Telecom S.A.
industrial,412,Toyo Setal,TS Participações e Investimentos S.A.
industrial,413,CMAA,Cia. Mineira de Açúcar e Álcool Participações
industrial,414,EDF Norte Fluminense,Usina Termelétrica Norte Fluminense S.A.
industrial,415,Log-In,Log-In Logística Intermodal S.A.
industrial,416,TecBan,Tecnologia Bancária S.A.
industrial,417,Ipiranga Agroindustrial,Ipiranga Agroindustrial S.A.
industrial,418,Libbs,Libbs Farmacêutica Ltda.
industrial,419,Matrix Energia,Matrix Energy Participações S.A.
industrial,420,Grupo Allos,Allos S.A.
industrial,421,Cobasi,Cobasi Comércio de Produtos Básicos e Industrializados S.A.
industrial,422,Grupo Cimed,Grupo Cimed
industrial,423,CEG Rio,CEG Rio S.A.
industrial,424,Mataboi Alimentos,Prima Foods S.A.
industrial,425,Friato,Nutriza Agroindustrial de Alimentos S.A.
industrial,426,Solví Participações,Solví Participações S.A.
industrial,427,Cejam,Centro de Estudos e Pesquisas Dr. João Amorim
industrial,428,Lojas Quero Quero,Lojas Quero Quero S.A.
industrial,429,Grupo Magnesita,Magnesita Refratários S.A.
industrial,430,Vipal Borrachas,Borrachas Vipal S.A.
industrial,431,Orígeo,Orígeo Comércio de Produtos Agropecuários S.A.
industrial,432,Merck,Merck S.A.
industrial,433,Grendene,Grendene S.A.
industrial,434,Iguá,Iguá Saneamento S.A.
industrial,435,Arco Brasil,Arco Educação S.A.
industrial,436,MGB,Marubeni Grãos Brasil S.A.
industrial,437,Mili,Mili S.A.
industrial,438,Arcelormittal Gonvarri,ArcelorMittal Gonvarri Brasil Produtos Siderúrgicos S.A.
industrial,439,Cantu Store,Cantu Store S.A.
industrial,440,Cocal,Cocal Comércio Indústria Canaã Açúcar e Álcool S.A.
industrial,441,Plano&Plano,Plano & Plano Desenvolvimento Imobiliário S.A.
industrial,442,Distribuidora Rio Branco de Petróleo,Distribuidora Rio Branco de Petróleo Ltda.
industrial,443,Arlanxeo Brasil,Arlanxeo Brasil S.A.
industrial,444,Caesb,Cia. de Saneamento Ambiental do Distrito Federal
industrial,445,Tristão,Tristão Cia. de Comércio Exterior
industrial,446,Vivara,Vivara Participações S.A.
industrial,447,CPTM,Companhia Paulista de Trens Metropolitanos - CPTM
industrial,448,Cruzeiro do Sul Educacional,Cruzeiro do Sul Educacional S.A.
industrial,449,Grupo GDM,GDM Genética do Brasil S.A.
industrial,450,Rede Santa Catarina,Associação Congregação de Santa Catarina
industrial,451,Multiplan Empreendimentos,Multiplan Empreendimentos Imobiliários S.A.
industrial,452,Logicalis Latin America,Logicalis Latin America Holding S.A.
industrial,453,Coty Brasil,Coty Brasil Comércio S.A.
industrial,454,Elgin,Elgin S.A.
industrial,455,Kalunga,Kalunga S.A.
industrial,456,Mineração Maracá,Mineração Maracá Indústria e Comércio S.A.
industrial,457,Cotripal,Cotripal Agropecuária Cooperativa
industrial,458,GJA Indústrias,GJA Indústrias S.A.
