person_id,label
p-2a132640,ALFREDO CRAVEIRO DE MACÊDO
p-2a693abe,PATRÍCIA MAEOKA AISENGART ACCIOLY
p-2ab994b8,ARTHUR CHAGAS GERDAU JOHANNPETER
p-2ad67f5f,MIKHAEL FEFFER
p-2b1bfe82,Beatriz Penteado Vettorazzo
p-2b2e53b7,RODRIGO BARAÚNA PINHEIRO
p-2bb4f2eb,DORA VOIGT DE ASSIS
p-2bb82ca0,MARTA BIER JOHANNPETER
p-2bb87868,GRACIELE RODRIGUES MORAES
p-2c0b4580,PAULO FERNANDO FERRARI LAGO
p-2c44f69a,ELMO LOPES FERNANDES DE ASSIS
p-2c4ea474,GERALDO OTTO WEBER
p-2c6da2f7,MARCO BILLI
p-2c75d29b,MARIA LUCIA COSTA DE MORAES
p-2c7d71b2,FLÁVIO BRANDÃO RESENDE
p-2cc9ab7e,IGNÁCIO DAUDEN MARTINEZ
p-2cdc324b,ANDRE ALMEIDA PIPPONZI
p-2d2fd563,LIGIA MALUF CURI
p-2d63f16b,ADRIANA GADELHA FÉLIX MAIA
p-2d774f98,WALTER BARTOLOMEU
p-2d7adc88,JULIANA LEMOS DE MORES
p-2da0d55a,LUCIANA OMETTO GEBARA
p-2e4aa185,ALEXANDRE RANDON
p-2e9154c1,EDNAN ARAÚJO MORAES FILHO
p-2ed13d92,ANTONIO MIGUEL GIRUNDI BARTOLOMEU
p-2fb48787,MAURO LITWIN IOCHPE
p-302b0624,PRISCILA CARDOSO FERNANDES DA CUNHA
p-30433961,SOFIA OMETTO TANK BRUGNARO
p-313717db,CRISTIANA NOGUEIRA DE ARAÚJO
p-316935a8,SOLANGE MARIA PEREIRA MARTINEZ
p-31810179,GIBRAIL KINJO ESBER BRAHIM FILHO
p-31ac716f,CRISTIANE HANSEN STEFFEN
p-31b3a7f5,ROSALBA LUISA DUMONCEL TAGLIARI
p-31bac9d8,CLÁUDIO WILSON PEREIRA DE ASSIS
p-329ce4c5,RAFAEL SABINO SALVADOR
p-32dad2d4,LILIAN DA SILVA WERNINGHAUS
p-3361ae87,MAURA TRIVELLATO
p-33ab3cce,SERGIO AUGUSTO GUERRA DE RESENDE
p-33bb4f86,AMARÍLIO PROENÇA DE MACÊDO
p-34c541ae,JOÃO ANNES GUIMARÃES
p-34dc8167,CARLOS MOCHE DAYAN
p-350b3504,NELSON KAUFMAN
p-353d2f89,ANA LUCIA RIBEIRO VALADARES GONTIJO
p-3563fea2,ANA LUIZA ARAÚJO AZEVEDO
p-3574e253,ALVARO STAINFELD LINK
p-35b402fa,RODRIGO UCHOA LUNA
p-35b92c94,FABRÍCIO BITTAR GARCIA
p-36102c0f,SALOMÃO IOSCHPE
p-3626b31f,PAULO JUNQUEIRA MOLL
p-363b106f,JULIO RICARDO MOTTIN NETO
p-36ac01c2,BETTINA IGEL HOFFENBERG
p-37403bef,PAULO ALEXANDER PACHECO BELLINI
p-37424ea5,HUMBERTO GABRIEL CANTU
p-37776b8a,SHEILA TORRES DE MELLO
p-37ba6c9d,CLEUSA CAMPOS GARFINKEL
p-37d0f3a6,VERA LAFER
p-37f652e4,LUIZ HENRIQUE FERNANDES ROSA NORONHA
p-388d2a62,PAULO EGYDIO SETUBAL
p-39091ece,LOURENÇO GURGEL DE OLIVEIRA MACÊDO
p-392bfe45,ALICE BOTELHO BASTOS
p-39c05328,BRUNO CAMPOS GARFINKEL
p-39dcf5fb,IAN BARUCH HORNETT GUPER
p-3a7a1bb5,ALEXANDRE MALUCELLI
p-3a8e3619,ALICE FELLIN DE MACEDO
p-3ae36197,ALEXANDRE GADELHA FÉLIX
p-3b5f6042,RUDOLFO JOSE MUSSNICH
p-3b65734e,PAULO SERGIO BEYRUTI CURI
p-3b8ee70e,CESAR GOMES JUNIOR
p-3be0fdbc,ROSANA BARAÚNA PINHEIRO BAIRES
p-3beb64e9,MÁRCIA REGINA RECIO DE MORAES
p-3c61229f,RAVI ALENCAR DE MACÊDO
p-3cbe26c9,MÁRCIA SALVADOR GÉO
p-3ce2c442,ANA CAROLINA CORONA GOLDFARB
p-3cebed6c,FERNANDO LUIZ ALTÉRIO
p-3d8b4780,NILVA THEREZINHA RANDON
p-3d9739a9,MYRIAN ALTAIR MEIRA
p-3e6b7d53,JOYCE IGEL DE CASTRO ANDRADE
p-3ec2d418,PEDRO MOREIRA SALLES
p-3ecbbd0d,RENATO RICARDO BEHNKE
p-3ee3ba9a,ANA CAROLINA ANDRADE DE ARAUJO LIMA
p-3f3db0c1,FABRÍCIO GHINATO MAINIERI
p-3f3f3cbc,GUILHERME MARTINS DE GODOY PEREIRA
p-3f47c81f,ALBERTO BORGES DE SOUZA
p-3f640fd9,FELIPE BARTOLOMEO MOREIRA
p-403b54bc,RENATO PADOVESE
p-40894d2d,MARIA CLARA BOTELHO PEREZ
p-40ae6dc1,EWALDO MARIO KUHLMANN RUSSO
p-40f90cbf,JOESLEY MENDONÇA BATISTA
p-4126bd31,MARIA ALICE SETUBAL
p-41d12d9e,JACQUES MAGGI QUARTIERO
p-41d9af0d,SILVIO AUGUSTO BATISTA DE SIQUEIRA
p-42127a79,DAN KLABIN
p-42ee6838,ANA LUIZA MARIANO DA ROCHA MOTTIN
p-4329f5b6,WILSON LEMOS DE MORAES JUNIOR
p-4397b74d,SILVIA REGINA FONTOURA DE SIQUEIRA
p-43b383b5,RODRIGO WRIGHT PIPPONZI
p-4434558b,CLÉCIO FÁBIO ZUCCO
p-444d8a06,RODRIGO ROSSETTO DIAS RAMOS
p-44a01604,VICTOR SIMÕES DA SILVA
p-4510d93f,GABRIELA RICHTER GOMES
p-451a9131,PEDRO BARTELLE
p-45485941,ALEXANDRE DE ZAGOTTIS
p-456b3f14,RICARDO WERNINGHAUS
p-45724415,FABIANA DE MORAES MARTIN BIANCO
p-4660184a,PAULO GUILHERME LESER
p-46afc878,CARLOS ROBERTO ALVES
p-47be9b8e,GISLENE RODRIGUES MORAES
p-47db8726,IVAN TRIVELLATO
p-4811a49c,RENATA DRUMMOND DE SIQUEIRA
p-4850ff53,CRISTIANO JOHANNPETER
p-48eb5cfd,MARINA LANGE VIEIRA GUIMARÃES DA SILVA
p-49004187,DAN IOSCHPE
p-4906483b,MARIA DA CONCEIÇÃO COUTINHO BELTRÃO
p-4bc86f92,GERSON BARTOLOMEO FILHO
p-4c128c85,RODRIGO CESAR FORMIGHIERI
p-4cb8b5bd,LISBELA BAPTISTA LAGE DE SIQUEIRA
p-4cc09360,ARTHUR RAINUI PEIXER BEHNKE
p-4ccf0dc2,CLEIDE MARQUES PINTO
p-4cda88be,RICARDO BARTSCH FILHO
p-4d463c78,DANIEL TRIVELLATO ROLLA
p-4d671414,CAMILA CORONA DE GODOY BUENO
p-4dc654f2,NOTWEN DE CASTRO SAYAO CARDOZO
p-4e7a8a2d,MARIANA LUCAS SETUBAL
p-4e8f18f2,HENRIQUE ALMEIDA ANIZELLI
p-4ebfcf43,REGIS PIZZATO
p-4f2bdb06,MARIA ISA CRAVEIRO DE MACEDO
p-4f3f270f,FREDERICO ALCÂNTARA DE QUEIROZ
p-4f98ffc9,JOÃO PEDRO BRAOLLOS NETO
p-4fa90d05,JOÃO MOREIRA SALLES
p-4fb39d12,GERD DA SILVA WERNINGHAUS
p-500e90ea,RICARDO EGYDIO SETUBAL
p-501516db,REGINA PIVA COELHO DE MAGALHÃES
p-503b32f5,RENDRIK FRANÇA FRANCO
p-504e51f9,PATRICIANA MARIA DE QUEIRÓS RODRIGUES
p-518695aa,PEDRO WERNINGHAUS DE CARVALHO
p-51ad2e82,CAROLINA MARINHO LUTZ SETUBAL
p-51edb5a2,DEBORAH UDERMAN
p-51f97a6c,MAURÍCIO NOGUEIRA ESCOBAR
p-5271f8b0,ANA PAULA DE MORAES RIZKALLAH
p-52ba78f0,FABIO TORRES MALUF
p-53555251,JHAYANNA LEMOS DE MORES MAGALHÃES LEITE JAYANETTI
p-5438e9c8,PEDRO AUGUSTO BOTELHO BASTOS
p-543bce99,ALBERTO WRIGHT PIPPONZI
p-54426cdf,BENIAMINO GAVIO
p-545ee02c,GABRIEL DE MATTOS SETUBAL
p-54b08b8e,ALVARO BRAGHETTA CAMARGO
p-55b17a37,BERNARDO BARTOLOMEO MOREIRA
p-55ccc9ca,MARCELA BARTOLOMEO MARTINS
p-561b3bc9,FRANCO BITTAR GARCIA
p-5668e588,DIEGO SIMÕES DA SILVA
p-56ad5c47,BRUNO MOULIN MACHADO
p-56d4594e,GUILHERME DA COSTA PAES
p-5709e5bb,MARIA SOARES DE SAMPAIO GEYER
p-57d25808,ANDRÉ SANTOS ESTEVES
p-58167a7c,EUGÊNIO ERMÍRIO DE MORAES
p-582ebdb4,RICARDO STEINBRUCH
p-58300b67,GUERINO ANIZELLI NETO
p-591b401d,MARIA ISBELA LEMOS DE MORAES
p-5a0a21d8,HEIDI BEHNKE
p-5a3a3ade,SOLANGE MARIA SIMÕES REIS
p-5a43498f,PEDRO HENRIQUE DE OLIVEIRA
p-5aa5d3a2,GABRIELA ZUBARAN DE AZEVEDO PIZZATO
p-5aebb94f,KARINA HARBICH JOHANNPETER
p-5b2cea1f,LUCIANO MAGGI QUARTIERO
p-5b3e9937,ÁUREA MARIA PARDINI
p-5b9cf1fe,FRANK GEYER ABUBAKIR
p-5c188a97,JADNA SAVI DE FREITAS
p-5c6eb6c7,PAULO CESAR BOTELHO BASTOS
p-5cde9c56,DAVI RICARDO BEHNKE
p-5d17f02c,EDUARDO LAFER PIVA
p-5e3431ea,ELIANE GIRUNDI BARTOLOMEU SILVA
p-5e481f10,EDUARDO AUGUSTO PEREIRA DE MENEZES FILHO
p-5e789b3d,JOSÉ ERMÍRIO DE MORAES NETO
p-5ea9292a,JOSÉ CARLOS BOTELHO DE MORAES TOLEDO
p-5f1ab4f5,LUCIO REBELLO
p-5f6f2bbb,RENATO AUGUSTO DE ARAÚJO
p-608cdb5e,MAX VAN HOEGAERDEN HERRMANN TELLES
p-6094b0a0,MARIA EUGENIA LAFER GALVÃO
p-60b7f8f8,RAFAEL MOIA VARGAS
p-611d831b,BETINA CHAGAS GERDAU JOHANNPETER (ATRAVÉS DOS VEÍCULOS BET5PAR LLC E F5BETPAR TRUST)
p-617ea2b3,LUIZA HELENA TRAJANO INÁCIO RODRIGUES
p-61c9292a,WILSON LEMOS DE MORAES NETO
p-620c94a1,ANTONELLA MARTINS DE QUEIROZ
p-6230c009,SERGIO MAEOKA
p-62540a56,MARILISA QUEIROZ GIANGRANDE
p-6268ea61,LIVIA VOIGT
p-6281813b,MAURICIO KRUG OMETTO
p-62bacf83,BERNARDO KLABIN
p-62d94b0d,BARBARA ARAUJO MILWARD DE AZEVEDO
p-630a9403,LUIS CARLOS MARTINEZ ROMERO
p-6388a3e6,MÁRIO HENRIQUE ALVES DE QUEIRÓS
p-63953d34,GABRIEL KLABIN
p-63ccf29d,MAURO GILBERTO BELLINI
p-6429c3c1,LUÍS ERMÍRIO DE MORAES
p-65255f5f,TÉRCIO BORLENGHI JUNIOR
p-652fd75b,RUBENS ERMÍRIO DE MORAES
p-65552f25,ALVARO SARAIVA LESSA JUNIOR
p-65592681,VICTOR CAVALCANTI PARDINI
p-6568cd3a,FERNANDO CORNETTE MARQUES
p-65d1af58,NINA GUPER SANDER
p-661aad6f,LUIS VITAL DE SOUZA RAMOS VETTORAZZO
p-662affb6,LARA SALVADOR GEO
p-66440eb1,LEONARDO AUGUSTO MACHADO CAMPOS
p-6686dd35,EUGENIO DE ZAGOTTIS
p-66e24efd,HÉLIO MARCOS COUTINHO BELTRÃO
p-6711b1f4,SASSON DAYAN
p-679fdfa9,MARCIO IOCHPE KOLODNY
p-67bfabe0,PEDRO MEZA CAMARGO
p-68a23a95,LUCAS CARRAPATOSO COELHO SIMÕES
p-68a89519,DULCE PUGLIESE DE GODOY BUENO
p-698a633c,LIZETI RODRIGUES DE MENEZES E CASTRO
p-6ab99658,THIAGO CORDEIRO BARTOLOMEU
p-6ae2426d,DANIEL RICARDO BEHNKE
p-6af07451,MIGUEL FRANCISCO ARNAUDO
p-6b591640,JOSÉ ROBERTO ERMIRIO DE MORAES
p-6b724a62,MARIA CAROLINA BARRETTO DE ARAÚJO ABUBAKIR
p-6b8737ea,ENA LUCIA ESCOBAR VERDI CALDEIRA
p-6cd65066,JOÃO MARCELO DUMONCEL
p-6ce1ccb5,ANTONIO DE FREITAS AIQUEL
p-6d9ac107,CARLOS ALBERTO DE FREITAS LIMA
p-6e368fe5,PAULA LUCAS SETUBAL
p-6e4afb27,ELOISA KRUG OMETTO
p-6e4f527e,RICARDO ANNES GUIMARÃES
p-6e7809ba,LARISSA FURLETTI BOMFIM
p-6edf4c54,SEBASTIÃO VICENTE BOMFIM FILHO
p-6edf75b7,RUBENS MENIN TEIXEIRA DE SOUZA
p-6ef9cde6,PAULO TREJES
p-6f80fd78,FERNANDO TORRES MALUF
p-6fbb455a,BEATRIZ REBELLO SALLES
p-6fcd2a1e,LEANDRO KOLODNY
p-6fe3cb54,BRUNO MACÊDO ROSA
p-70baeaf8,CÉSAR GOMES NETO
p-70d8dda2,THAIS SUSANA FERRARI LAGO
p-710dd63a,RAFAEL VICENTINI DE QUEIROZ
p-712fc85f,RAFAEL MARES TRIVELLATO
p-713f13ad,JOANA STUDART DE MACÊDO AGUIAR
p-7152d85a,TANIA MARISA DA SILVA
p-7182be4d,ROBERTA DE SOUZA RAMOS VETTORAZZO MARCONDES
p-71afcd6d,CARLOS EDUARDO MORAES SCRIPILLITI
p-71c45d95,ALINE KOLODNY NEMETZ
p-71c9adb5,FABIO IGEL
p-71dce50a,CAMILA NAGAO DE SOUZA
p-71e7ce3c,LISIANE GURGEL ROCHA
p-724ac198,OMAR ALENCAR DE MACÊDO
p-7345a52b,VIVIEN BOUZAN GOMEZ NAVARRO ROSSO
p-73a733cc,BRUNO ALZUGUIR BOTELHO
p-73b12ad7,OTÁVIO JOSÉ BAPTISTA DE SIQUEIRA
p-747497a6,MARIA BETHANIA NEVES CARVALHO LAGE SIQUEIRA
p-74785ac4,SOFIA GUIMARÃES VON RIDDER
p-749f5505,CLARISSA NOGUEIRA DE ARAUJO
p-74b6bde7,ISMAEL BORGES TRAJANO
p-74cd4e86,MARIA DO CARMO RIPPER KOS
p-7636b07f,CINTIA ALZUGUIR BOTELHO
p-765aac20,RENATO DE PAULA SIMÕES
p-766e2674,RONY DAYAN
p-76790c38,MARIANA VOIGT SCHWARTZ GOMES
p-769fd72e,CHRISTIANE NASCIMENTO DE MORAIS
p-7721e6d9,ELIE HORN
p-778c3fde,Andrea Ometto Tank Breda
p-77cb38bd,MARCOS ERMIRIO DE MORAES
p-788306ab,RODRIGO CARRAPATOSO COELHO SIMÕES
p-78a59237,RAFAEL MACEDO MELLO
p-7900085a,MARINA KAUFMAN BUENO NETTO
p-793faab4,RUBENS OMETTO SILVEIRA MELLO
p-794bb6b8,CELSO FRANCISCO HERNANDES GRANATO
p-79a02e05,RICARDO TORRES DE MELLO
p-7a7bf0bd,ESPÓLIO DE DOROTHÉA STEINBRUCH
p-7aaf4bc3,GUY SALVADOR GEO
p-7acce21a,Isabela Penteado Vettorazzo
p-7b86ae04,LARISSA SCANNAVINO DE QUEIROZ
p-7c02fcb3,VERONICA DIDIER NASCIMENTO PEDREIRA
p-7c10e101,LEDA SOARES NEVES DA CUNHA
p-7c450734,FERNANDA DA COSTA PEREIRA
p-7c6eb583,JÚLIA DA SILVA GEFFERT DE OLIVEIRA
p-7cc112db,ANTONIA DE FREITAS TONIN
p-7cf7480c,MARIA AMELIA GOMES VIEIRA
p-7d0a823f,FERNANDA DIDIER NASCIMENTO PEDREIRA
p-7d7606b6,HELIO BRUCK ROTENBERG
p-7d88f6d0,MANOEL BIRMARCKER
p-7d8ceda0,GILTON GIRUNDI BARTOLOMEU
p-7dc8b431,BEATRIZ DE MATTOS SETUBAL
p-7dfd7533,JOÃO MOREIRA SALLES
p-7e21753e,GUILHERME CHAGAS GERDAU JOHANNPETER
p-7e3391cd,LAÉRCIO JOSÉ DE LUCENA COSENTINO
p-7e93b0ee,JOSÉ SALVINO DE MENEZES
p-7eb6d634,CAROLINA HANSEN
p-7eba49fa,HENRIQUE PENNA DE SIQUEIRA
p-7edeec49,BIANCA TERPINS GARCIA
p-7efc6403,MARIANA DE MACÊDO CUNHA
p-7f3fc508,RUTH MARIA FERREIRA BOTELHO
p-7fc3be74,ESPOLIO DE ORMEO JUNQUEIRA BOTELHO NETO
p-7fdafcf3,ANDRÉ FRANCISCO JUNQUEIRA MOLL
p-80266591,MONICA MALUCELLI DO AMARAL
p-805cd3d2,LUIZ OSÓRIO DUMONCEL
p-80926a7c,PATRICIA AZEVEDO ABI SABER
p-80f418e7,JOSÉ LUIZ EGYDIO SETUBAL
p-812432de,MÁRCIO MACÊDO DE ALMEIDA
p-8140c8b6,WALDEMAR VERDI JÚNIOR
p-818db273,MARIAMA LEMOS DE MORAES MAGALHÃES LEITE JAYANETTI
p-81aaf5d6,RENATO MORAES SALVADOR SILVA
p-81b1a6c1,LUIZ ANTONIO CÊRA OMETTO
p-81dae121,RICARDO RADOMYSLER
p-82677c43,MARIA REGINA ERMÍRIO DE MORAES WAIB
p-82ad06f2,LUCIANO IOCHPE KOLODNY
p-82e625b1,GERMANDO CASTRO DE MACÊDO
p-83107ad5,DANIELA LASERNA SEIBEL
p-8318faa2,MARCELO CONSONNI GOMES
p-831e3028,RICARDO PEREZ BOTELHO
p-835a4a65,ANA FLÁVIA DA SILVA PETRY
p-8480ec43,PRISCILA BARTOLOMEU NEVES
p-848bf0ce,CAMILA BOTELHO ROCHA JANSEN
p-84b28972,JORGE PAULO LEMANN
p-84f481ac,MARIA HELENA MORAES SCRIPILLITI NOSCHESE
p-859f7d99,DAVID FEFFER
p-85b13b0d,EDUARDO DE FREITAS TEIXEIRA
p-85c0959b,DENÍLSON PINHEIRO RODRIGUES
p-860c1b09,RICARDO ERMIRIO DE MORAES
p-863b8fe0,MARCO AURÉLIO SILVA PEREIRA
p-864f9beb,TASSO RIBEIRO JEREISSATI
p-866b8578,FLAVIO MALUF
p-86afab8a,RICARDO EUGÊNIO DE SOUZA RAMOS VETTORAZZO
