rank_2024,empresa,razao_social,cnpj_basico,cnpj_full,listed_flag,listed_source,soe_flag,soe_source,controlador_tipo,freeze_status_hint,notes,source_doc,cnpj_source,retrieved_at
11,Ambev,Ambev S.A.,07526557,07526557000100,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=23264 CNPJ=07.526.557/0001-00 CATEG_REG=Categoria A CONTROLE_ACIONARIO=ESTRANGEIRO HOLDING DENOM_SOCIAL=AMBEV S.A.,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=ESTRANGEIRO HOLDING.,foreign,pending,"Brazilian listed vehicle; group HQ/control is foreign. Ambev RI acordo de acionistas: AB InBev is 'companhia aberta com sede em Leuven, Bélgica' and 'detém indiretamente ... 61,8% da totalidade do nosso capital social votante'. Direct controllers Interbrew International B.V. and AmBrew S.A. Valor capital_origem=BE/BR. Person path: FRE 6.1.h / 20-F, not Brazilian CEO.",CVM cad_cia_aberta CD_CVM=23264 CONTROLE_ACIONARIO=ESTRANGEIRO HOLDING; https://ri.ambev.com.br/governanca-corporativa/acordo-de-acionistas/; BD br_me_cnpj cnpj_basico=07526557,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
12,Stellantis,Stellantis Automóveis Brasil Ltda.,16701716,16701716000156,false,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): no ATIVO (or matching) row for this CNPJ/razao,false,Not a federal SOE. Ltda natureza=2062.,foreign,pending,"Valor capital_origem=HO. Stellantis N.V. corporate seat Amsterdam / corporate office Hoofddorp, The Netherlands (https://www.stellantis.com/en/legal-notes). RF STELLANTIS AUTOMOVEIS BRASIL LTDA. capital=31178220107 nome_fantasia=FIASA. Rejected STELLANTIS AUTOMOVEIS BRASIL SETOR DE RECEBIVEIS INOVA SIMPLES.",https://www.stellantis.com/en/legal-notes; Valor capital_origem=HO; BD br_me_cnpj cnpj_basico=16701716,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
13,Braskem,Braskem S.A.,42150391,42150391000170,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=4820 CNPJ=42.150.391/0001-70 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=BRASKEM S.A.,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO.,listed,pending,RF razao stored as 'BRASKEM S.A' (one period) natureza=2046. Rejected BRASKEM S.A. exact miss; rejected BRASKEM PETROQUIMICA / QPAR / GREEN / PARTICIPACOES.,CVM cad_cia_aberta CD_CVM=4820; BD br_me_cnpj cnpj_basico=42150391,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
14,Assaí Atacadista,Sendas Distribuidora S.A.,06057223,06057223000171,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=25372 CNPJ=06.057.223/0001-71 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO HOLDING DENOM_SOCIAL=SENDAS DISTRIBUIDORA S.A.,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO HOLDING.,listed,pending,RF SENDAS DISTRIBUIDORA S/A natureza=2046 nome_fantasia=ASSAI ATACADISTA.,CVM cad_cia_aberta CD_CVM=25372; BD br_me_cnpj cnpj_basico=06057223,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
15,Bunge Alimentos,Bunge Alimentos S.A.,84046101,84046101000193,false,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=CANCELADA CD_CVM=2593 CNPJ=84.046.101/0001-93 DT_CANCEL=2002-10-08 DENOM_SOCIAL=BUNGE ALIMENTOS SA — historical listing cancelled; not currently a cia aberta.,false,Not a federal SOE. Natureza=2054 (SA fechada).,foreign,pending,"Valor capital_origem=SU. RF BUNGE ALIMENTOS S/A capital=3089948049.43. Parent is not Brazilian: Bunge.com Contact Us lists Global Headquarters in Chesterfield, MO, USA and a Geneva, Switzerland office (Valor SU vs current US HQ page — both non-BR). Brazilian CEO is not default controller.",CVM cad_cia_aberta CD_CVM=2593 DT_CANCEL=2002-10-08; https://bunge.com/Contact-Us; Valor capital_origem=SU; BD br_me_cnpj cnpj_basico=84046101,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
16,Gerdau,Gerdau S.A.,33611500,33611500000119,true,"CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=3980 CNPJ=33.611.500/0001-19 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=GERDAU S.A.; related listed issuer Metalúrgica Gerdau SA CD_CVM=8656 CNPJ=92.690.783/0001-09 is a different company (holding), not used as this row's CNPJ.",false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO.,listed,pending,RF exact GERDAU S.A. natureza=2046. Do not confuse with Metalúrgica Gerdau.,CVM cad_cia_aberta CD_CVM=3980; BD br_me_cnpj cnpj_basico=33611500,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
17,ArcelorMittal,Arcelormittal Brasil S.A.,17469701,17469701000177,false,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): no ATIVO (or matching) row for this CNPJ/razao; no ATIVO CVM row for ARCELORMITTAL BRASIL.,false,Not a federal SOE. Natureza=2054 (SA fechada).,foreign,pending,Valor capital_origem=EP. RF ARCELORMITTAL BRASIL S.A. capital=18778159642.68 SA fechada. Brazilian operating company of ArcelorMittal group (parent HQ not Brazil). Rejected ARCELORMITTAL BRASIL ACOS E METAIS LTDA and SSC PARTICIPACOES.,Valor capital_origem=EP; BD br_me_cnpj cnpj_basico=17469701; CVM no ATIVO match,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
18,Copersucar,Copersucar S.A.,10265949,10265949000177,false,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=CANCELADA CD_CVM=22535 CNPJ=10.265.949/0001-77 DT_CANCEL=2011-08-12 DENOM_SOCIAL=COPERSUCAR SA,false,Not a federal SOE. Natureza=2054. CVM CONTROLE_ACIONARIO was PRIVADO when listed.,unlisted,pending,Brazilian unlisted SA (cooperative-origin trading company). RF COPERSUCAR S.A. capital=1775195789.81. Rejected COPERSUCAR COMERCIAL / ARMAZENS GERAIS / LTDA.,CVM cad_cia_aberta CD_CVM=22535 DT_CANCEL=2011-08-12; BD br_me_cnpj cnpj_basico=10265949,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
19,Mercado Livre,Mercadolivre.com Atividades de Internet Ltda.,03361252,03361252000134,false,"CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): no ATIVO (or matching) row for this CNPJ/razao; Brazilian Ltda is not a CVM cia aberta. Parent MercadoLibre, Inc. is listed on NASDAQ (MELI), not B3 as this entity.",false,Not a federal SOE. Ltda natureza=2062.,foreign,pending,Valor capital_origem=AG. RF exact MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA capital=250662975. Related but distinct: MERCADOLIVRE.COM ATIVIDADES DE INTERNET 2 LTDA 46758492 — not used. LIKE 'MERCADO LIVRE%' is highly ambiguous (dozens of unrelated shops).,Valor capital_origem=AG; BD br_me_cnpj cnpj_basico=03361252; CVM no ATIVO row for this CNPJ,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
20,BRF,BRF S.A.,01838723,01838723000127,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=16292 CNPJ=01.838.723/0001-27 CATEG_REG=Categoria B CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=BRF S.A.,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO.,listed,pending,Categoria B still counts as listed (CVM SIT=ATIVO). Natureza=2046.,CVM cad_cia_aberta CD_CVM=16292; BD br_me_cnpj cnpj_basico=01838723,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
21,Telefônica Brasil,Telefônica Brasil S.A.,02558157,02558157000162,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=17671 CNPJ=02.558.157/0001-62 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=TELEFÔNICA BRASIL S.A.; B3 consulta info emp CodCVM=17671 ticker VIVT3 CNPJ 02.558.157/0001-62; posição acionária received 28/04/2025: Telefónica S.A. 38.91% ON + Telefónica Latinoamérica Holding S.L. 37.34% ON.,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO (Brazilian listed vehicle of Spanish parent).,foreign,pending,"Valor capital_origem=EP. Parent Telefónica S.A. (Spain) controls via Telefónica S.A. + Telefónica Latinoamérica Holding S.L. (~77% combined per B3 posição 28/04/2025 and company IR). listed_flag=true (Brazilian cia aberta) but controlador_tipo=foreign because HQ/control is Spain. Moody's Local 09/05/2025: Telefónica S.A. sede na Espanha, 76.3% voting.",CVM cad_cia_aberta CD_CVM=17671; https://bvmf.bmfbovespa.com.br/pt-br/mercados/acoes/empresas/ExecutaAcaoConsultaInfoEmp.asp?CodCVM=17671; Valor capital_origem=EP; BD br_me_cnpj cnpj_basico=02558157,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
22,Shell,Shell Brasil Petróleo Ltda.,10456016,10456016000167,false,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): no ATIVO (or matching) row for this CNPJ/razao,false,Not a federal SOE. Ltda natureza=2062.,foreign,pending,Valor capital_origem=HO. RF SHELL BRASIL PETROLEO LTDA (no trailing period in RF) capital=14697740290. Parent Shell plc (UK/Netherlands group). Not a CVM cia aberta.,Valor capital_origem=HO; BD br_me_cnpj cnpj_basico=10456016; CVM no ATIVO row,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
23,Cofco International,Cofco International Brasil S.A.,06315338,06315338000119,false,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): no ATIVO (or matching) row for this CNPJ/razao,false,Not a Brazilian federal SOE. Natureza=2054. Parent is Chinese state trading group COFCO; that does not make the Brazilian SA a União-controlled SOE under this spec.,foreign,pending,"Valor capital_origem=HK. RF COFCO INTERNATIONAL BRASIL S.A. natureza=2054 capital=6554986363.98 nome_fantasia=COFCO INTL. REJECTED same-name rows with natureza=4120 (produtor rural) capital=0 (61088385, 62329949, 63090486) — ambiguous name, picked the SA fechada with multi-billion capital matching the Valor group.",Valor capital_origem=HK; BD br_me_cnpj cnpj_basico=06315338 natureza=2054; CVM no ATIVO row,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
24,Rede D'Or,Rede D' Or São Luiz S.A.,06047087,06047087000139,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=24821 CNPJ=06.047.087/0001-39 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=REDE D'OR SÃO LUIZ S.A.,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO.,listed,pending,RF REDE D'OR SAO LUIZ S.A. natureza=2046 capital=15711359775.89. Rejected REDE D'OR / SAO LUIZ SERVICOS MEDICOS LTDA 14017359 (operating unit).,CVM cad_cia_aberta CD_CVM=24821; BD br_me_cnpj cnpj_basico=06047087,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
25,Neoenergia,Neoenergia S.A.,01083200,01083200000118,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=15539 CNPJ=01.083.200/0001-18 CATEG_REG=Categoria B CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=NEOENERGIA S.A,false,"Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO. Controller is Iberdrola (Spain), not União.",foreign,pending,"Valor capital_origem=EP/BR. Estatuto/AGO 17-04-2025: grupo has as controladora 'a holding espanhola de capital aberto Iberdrola S.A.'. CVM IPE: Iberdrola Energía S.A. is acionista controladora; after Previ sale (closed 31 Oct 2025 per company/Valor) Iberdrola ~83.8%. listed_flag=true (still ATIVO Categoria B as of CVM cadastre download 2026-08-24) despite OPA talk. Person path: FRE 6.1.h / Spanish parent, not Brazilian CEO.",CVM cad_cia_aberta CD_CVM=15539; Neoenergia estatuto 17-04-2025 (Iberdrola S.A. Spain); Valor 31 Oct 2025 Previ sale; BD br_me_cnpj cnpj_basico=01083200,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
26,Claro Participações,Claro Telecom Participações S.A.,07043628,07043628000113,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=23531 CNPJ=07.043.628/0001-13 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=CLARO TELECOM PARTICIPAÇÕES S.A.,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO.,foreign,pending,Valor capital_origem=MX (América Móvil). Unusual: the holding is a CVM Categoria A cia aberta (SIT=ATIVO) even though the operating brand is typically treated as private. listed_flag follows CVM ATIVO. controlador_tipo=foreign because group HQ/control is Mexico. RF CLARO TELECOM PARTICIPACOES S/A natureza=2046 capital=11717414047.27.,CVM cad_cia_aberta CD_CVM=23531; Valor capital_origem=MX; BD br_me_cnpj cnpj_basico=07043628,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
27,Suzano,Suzano S.A.,16404287,16404287000155,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=13986 CNPJ=16.404.287/0001-55 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=SUZANO S.A.,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO.,listed,pending,RF SUZANO S.A. natureza=2046 nome_fantasia=SUZANO PAPEL E CELULOSE.,CVM cad_cia_aberta CD_CVM=13986; BD br_me_cnpj cnpj_basico=16404287,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
28,Acelen,Refinaria de Mataripe S.A.,41777706,41777706000141,false,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): no ATIVO (or matching) row for this CNPJ/razao,false,"Former Petrobras RLAM, sold 2021. Not União-controlled. Natureza=2054. Acelen RI 30 Nov 2021: control transferred from Petrobras to Acelen/Mubadala Capital.",foreign,pending,"Valor capital_origem=EA. RF REFINARIA DE MATARIPE S.A. capital=5619073324 nome_fantasia=ACELEN. Acelen RI: Mubadala Capital (asset-management subsidiary of Mubadala Investment Company, 'investidor soberano global com sede em Abu Dhabi') assumed control 30 Nov 2021. Parent HQ UAE. Not a Brazilian federal SOE.",https://ri.acelen.com.br/mubadala-capital-assume-controle-da-refinaria/; Valor capital_origem=EA; BD br_me_cnpj cnpj_basico=41777706,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
29,Equatorial,Equatorial S.A.,03220438,03220438000173,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=20010 CNPJ=03.220.438/0001-73 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=EQUATORIAL S.A.,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO. Company has described itself as a corporation without defined controller (InvestNews quoting Equatorial on Sabesp deal).,listed,pending,"Brazilian listed. FRE 6.1 may be empty (no controller) — that is a hole for #25, not skip_soe.",CVM cad_cia_aberta CD_CVM=20010; BD br_me_cnpj cnpj_basico=03220438,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
30,Grupo Enel,Enel Brasil S.A.,07523555,07523555000167,false,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): no ATIVO (or matching) row for this CNPJ/razao,false,Not a Brazilian federal SOE. Natureza=2054. Italian parent Enel S.p.A. is itself partly owned by the Italian state; that is not União.,foreign,pending,"Valor capital_origem=IT. RF ENEL BRASIL S.A (no second period) capital=52480943635.38. Relatório da Administração Enel Brasil 2022: 'O Grupo Enel, por meio da Enel Américas S.A., sediada no Chile, detém 100% do Capital Social votante da Companhia (99,56% do capital total).' Enel Américas is part of Enel S.p.A. (Rome). Rejected ENEL BRASIL INVESTIMENTOS SUDESTE S.A.",Valor capital_origem=IT; Enel Brasil Relatório da Administração 2022; BD br_me_cnpj cnpj_basico=07523555; CVM no ATIVO row,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
