rank_2024,rank_2023,empresa,sede,capital_origem,razao_social,ranking_source,source_url,source_json,retrieved_at
35,33,Clássico,RJ,Brasil,Banco Clássico S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
36,52,Deutsche Bank,SP,Alemanha,Deutsche Bank S.A. - Banco Alemão,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
37,45,Agibank,RS,Brasil,Banco Agibank S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
38,35,CNH Capital,PR,Holanda,Banco CNH Industrial Capital S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
39,41,Pine,SP,Brasil,Banco Pine S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
40,36,Original,SP,Brasil,Banco Original S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
41,39,Crédit Agricole,SP,França,Banco Crédit Agricole Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
42,-,PicPay Bank,SP,Brasil,PicPay Bank - Banco Múltiplo S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
43,44,Mercantil do Brasil,MG,Brasil,Banco Mercantil do Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
44,49,Morgan Stanley,SP,EUA,Banco Morgan Stanley S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
45,43,Société Générale Brasil,SP,França,Banco Société Générale Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
46,37,HSBC,SP,Inglaterra,Banco HSBC S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
47,46,Carrefour Soluções Financeiras,SP,França,Banco CSF S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
48,54,Fibra,SP,Brasil,Banco Fibra S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
49,42,Mercedes-Benz,SP,Alemanha,Banco Mercedes-Benz do Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
50,40,Credit Suisse,SP,Suíça,Banco de Investimentos Credit Suisse (Brasil) S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
51,50,Banpará,PA,Brasil,Banco do Estado do Pará S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
52,57,GM,SP,EUA,Banco GM S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
53,53,Volvo,PR,Suécia,Banco Volvo (Brasil) S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
54,48,John Deere,RS,EUA,Banco John Deere S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
55,55,Sofisa,SP,Brasil,Banco Sofisa S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
56,59,Scania,SP,Suécia,Scania Banco S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
57,56,De Lage Landen,RS,Holanda,Banco de Lage Landen Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
58,62,BR Partners,SP,Brasil,BR Partners Banco de Investimento S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
59,51,Scotiabank,SP,Canadá,Scotiabank Brasil S.A. Banco Múltiplo,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
60,61,RCI Brasil,PR,França,Banco RCI Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
61,65,Sumitomo Mitsui,SP,Japão,Banco Sumitomo Mitsui Brasileiro S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
62,64,Banese,SE,Brasil,Banco do Estado de Sergipe S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
63,60,Toyota do Brasil,SP,Japão,Banco Toyota do Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
64,58,BS2,MG,Brasil,Banco BS2 S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
65,66,Stellantis,MG,Itália,Banco Stellantis S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
66,63,Paraná,PR,Brasil,Paraná Banco S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
67,-,Banco Inbursa,SP,México,Banco Inbursa S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
68,71,Honda,SP,Japão,Banco Honda S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
69,67,Digimais,RS,Brasil,Banco Digimais S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
70,72,Paccar,PR,Brasil,Banco Paccar S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
71,77,Voiter,SP,Brasil,Banco Voiter S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
72,69,Industrial do Brasil,SP,Brasil,Banco Industrial do Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
73,73,Hyundai Capital,SP,Brasil,Banco Hyundai Capital Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
74,70,Haitong,SP,China,Haitong Banco de Investimento do Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
75,74,Caterpillar,SP,EUA,Banco Caterpillar S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
76,84,Ouribank,SP,Brasil,Ouribank S.A. Banco Múltiplo,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
77,76,Intesa Sanpaolo,SP,Itália,Intesa Sanpaolo Brasil S.A. - Banco Múltiplo,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
78,80,Tribanco,MG,Brasil,Banco Triângulo S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
79,83,Yamaha Motor,SP,Japão,Banco Yamaha Motor do Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
80,82,Banco da China,SP,China,Banco da China Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
81,88,NBC Bank,RS,Paraguai,Novo Banco Continental S.A. - Banco Múltiplo,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
82,81,Rendimento,SP,Brasil,Banco Rendimento S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
83,86,Cargill,SP,EUA,Banco Cargill S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
84,87,ABN AMRO,SP,Holanda,Banco ABN AMRO Clearing S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
85,79,Rodobens,SP,Brasil,Banco Rodobens S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
86,89,Genial,RJ,Brasil,Banco Genial S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
87,85,Luso Brasileiro,SP,Brasil,Banco Luso Brasileiro S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
88,75,Omni,SP,Brasil,Omni Banco S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
89,92,KDB,SP,Coreia do Sul,Banco KDB do Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
90,78,State Street Brasil,SP,EUA,State Street Brasil S.A. - Banco Comercial,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
91,93,Andbank,SP,Chile,Banco Andbank Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
92,91,Crefisa,SP,Portugal,Banco Crefisa S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
93,95,Randon,RS,Brasil,Banco Randon S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
94,94,IBM,RJ,EUA,Banco IBM S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
95,98,Guanabara,RJ,Brasil,Banco Guanabara S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
96,90,Topázio,RS,Brasil,Banco Topázio S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
97,96,Caixa Geral,SP,Portugal,Banco Caixa Geral - Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
